amfi_code,cagr,sharpe_ratio,alpha,beta,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,return_3yr_pct,raw_score,fund_score
101208,0.06504429821332125,-205.5229767130243,0.060861457957871144,0.00026670968338238433,-0.0016224980244717857,0.79,40.0,40.0,33.0,11.0,3.0,5.14,30.55,100.0
119092,0.0636349475771898,7.757782440555658,0.0689952982167755,0.009730745001153637,-0.1440161790933726,1.64,31.0,31.0,30.0,39.5,15.0,11.84,30.474999999999998,99.65197215777262
100016,0.026352458116335464,-50.78230102503668,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,1.55,16.0,35.0,39.0,32.0,34.0,14.84,29.550000000000004,95.35962877030164
119120,0.05885271270380055,-57.09699743023478,0.05620895216638369,-0.006413850728276477,-0.04328728923970093,0.77,38.0,37.0,34.0,9.0,5.0,6.07,29.3,94.19953596287702
118636,0.053131554027608274,-89.87063589362069,0.05074772999976104,0.0012566742731558458,-0.08316361763638702,0.55,39.0,38.0,35.0,1.0,6.0,5.31,28.95,92.57540603248259
100025,0.04455091155784441,-142.90788779761655,0.042817920315060876,0.0011582183155281463,-0.04308263824636349,0.56,36.0,39.0,38.0,2.0,4.0,7.37,28.849999999999998,92.11136890951275
102886,0.0117093879842316,-51.869565179385184,0.028969397866379445,-0.04212502902189432,-0.2800112356639287,1.51,12.0,36.0,40.0,24.5,35.0,15.61,27.775000000000002,87.12296983758702
120841,0.13522349085511554,124.55667954254322,0.13042924450705445,0.036356399022199795,-0.1757361416468729,1.59,28.0,24.0,25.0,35.0,24.0,12.25,27.049999999999997,83.75870069605567
120844,0.0691037983940288,-22.364318646324367,0.06455677495375998,-0.00040074423947840013,-0.0011629327956168556,0.6,37.0,34.0,32.0,3.0,2.0,6.18,26.65,81.90255220417632
119093,0.07891944369437343,32.66285348508671,0.08232801295222093,0.02588321244009315,-0.21751396370148224,0.75,29.0,29.0,28.0,8.0,31.0,12.14,25.85,78.19025522041764
149322,0.13383520958789363,116.9374372035604,0.13173190226099432,-0.004050271130006534,-0.14844576917771746,1.54,25.0,25.0,24.0,30.5,16.0,12.82,24.725,72.96983758700696
120842,0.06696806255006482,19.151961707740483,0.0780443887615508,0.01805687420811816,-0.24003511326274884,1.56,7.0,30.0,29.0,33.0,33.0,18.23,23.650000000000002,67.98143851508121
